Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. ()",Total Cost of Use of Official Secure Car,Booked through
"Ind, Mr. Hugh Timothy",03/10/2016,,,EDAG Meeting in Liverpool - Evening Meal for 4 persons,Miscellaneous,,,,74.42,,
"Ind, Mr. Hugh Timothy",03/10/2016,,,Fares - in connection with visit to Liverpool for EDAG Meeting,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Ind, Mr. Hugh Timothy",03/10/2016,,Liverpool,External Meeting,,,Hotel Room,,138.60,,Redfern
"Ind, Mr. Hugh Timothy",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,156.00,,Redfern
"Lloyd, Ms. Myrtle",03/10/2016,,,Parking at railway station,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Tube ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Overnight stay in London,T&S - Subsistence,,,,25.05,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Meeting overran - used taxi so as not to miss train. fixed train ticket,Taxis,,,,16.04,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Car Parking at railway station.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",03/10/2016,,,Meal with North Region Director,T&S - Hotels,,,,20.36,,
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool,External Meeting,,,Hotel Room,,74.60,,Redfern
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,300.34,,Redfern
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,137.84,,Redfern
"Riach, Ms. Shona",03/10/2016,,,Taxi to airport to hotel,Taxis,,,,59.50,,
"Riach, Ms. Shona",03/10/2016,,,Dinner before flight,T&S - Subsistence,,,,7.64,,
"Williams, Ms. Wendy",03/10/2016,,London Kings Cross,External Meeting,Rail,Standard,,,140.00,,Redfern
"Cunningham, Mr. Michael Bernard",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",04/10/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Ind, Mr. Hugh Timothy",04/10/2016,,,EDAG Meeting and Visit to Liverpool Teams - Dinner for 2 persons,Miscellaneous,,,,51.09,,
"Lamberti, Mr. David James",04/10/2016,,,OPCC awayday - Yatton st to Wrington,Taxis,,,,20.00,,
"Lamberti, Mr. David James",04/10/2016,,,OPCC awayday - Wrington to Yatton St,Taxis,,,,20.00,,
"Lamberti, Mr. David James",04/10/2016,,London Terminals,External Meeting,Rail,Standard,,,9.80,,Redfern
"Lamberti, Mr. David James",04/10/2016,,Yatton,External Meeting,Rail,Standard,,,63.60,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,Birmingham International,External Meeting,Rail,Standard,,,21.00,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,-70.00,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,75.00,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,,Travel from Darlington to Middlesbrough,Taxis,,,,22.00,,
"Lincoln, Mr. Paul Michael",04/10/2016,,Middlesbrough,External Meeting,Rail,Standard,,,8.56,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,Newcastle,External Meeting,,,Hotel Room,,75.60,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,Newcastle,External Meeting,Rail,Standard,,,28.42,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,Newcastle,External Meeting,Rail,Standard,,,214.85,,Redfern
"Montgomery, Sir Charles Percival",04/10/2016,,,lunch,T&S - Hotels,,,,5.05,,
"Montgomery, Sir Charles Percival",04/10/2016,,,Tube journey back to office,T&S - Hotels,,,,2.40,,
"Montgomery, Sir Charles Percival",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,25.50,,Redfern
"Owen, Mr. Marc",04/10/2016,,,Drove to Eaton House due to early start to observe an op,T&S - Employee Reimbursed Mileage,,,,9.52,,
"Pratt, Mr. Alan Palaic",04/10/2016,,,"breakfast taken on the road - one coffee and a pastry was above claim limit (5.98), so lesser amount claimed.",T&S - Subsistence,,,,4.25,,
"Pratt, Mr. Alan Palaic",04/10/2016,,,visit to Roke Manor Research - public transport not viable,T&S - Employee Reimbursed Mileage,,,,36.80,,
"Pratt, Mr. Alan Palaic",04/10/2016,,,return from Roke Manor Research - public transport not viable,T&S - Employee Reimbursed Mileage,,,,42.00,,
"Sedwill, Mr. Mark",04/10/2016,,London St Pancras,External Meeting,Rail,Standard,,,73.50,,Redfern
"Sedwill, Mr. Mark",04/10/2016,,Sheffield,External Meeting,Rail,Standard,,,202.00,,Redfern
"Sedwill, Mr. Mark",04/10/2016,,ZONE U1* LONDN,External Meeting,Rail,Standard,,,4.90,,Redfern
"Spencer, Dr. Fiona Margaret",04/10/2016,,,"Taxi from Heathrow Underground Staton T2,3,4  to Radisson Blu, 140 Bath Road for Fast Stream Induction",Taxis,,,,9.60,,
"Thomson, Mr. Mark David",04/10/2016,,,ABLE conference,Taxis,,,,5.00,,
"Wilkinson, Ms. Patsy",04/10/2016,,London St Pancras,External Meeting,Rail,Standard,,,5.50,,Redfern
"Wilkinson, Ms. Patsy",04/10/2016,,London St Pancras,External Meeting,Rail,Standard,,,39.20,,Redfern
"Williams, Ms. Wendy",04/10/2016,,Stafford,External Meeting,Rail,Standard,,,109.00,,Redfern
"Duffy, Mr. Philip",05/10/2016,,,Rail ticket to WICU,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,5.50,,
"Duffy, Mr. Philip",05/10/2016,,,Travel to WICU,T&S - Hotels,,,,7.90,,
"Foy, Mr. Timothy John",05/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,11.50,,Redfern
"Foy, Mr. Timothy John",05/10/2016,,Winchester,External Meeting,Rail,Standard,,,76.40,,Redfern
"Hornby, Mr. Richard",05/10/2016,,,visit,Taxis,,,,10.00,,
"Hornby, Mr. Richard",05/10/2016,,,visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.80,,
"Hornby, Mr. Richard",05/10/2016,,London Euston,External Meeting,Rail,Standard,,,9.80,,Redfern
"Hornby, Mr. Richard",05/10/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,207.20,,Redfern
"Ind, Mr. Hugh Timothy",05/10/2016,,London Euston,External Meeting,Rail,Standard,,,22.00,,Redfern
"Lloyd, Ms. Myrtle",05/10/2016,,,taxi from home to railway station. No suitable public transport.,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",05/10/2016,,,Dinner: Overnight stay in London,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",05/10/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,6.50,,
"Oppenheim, Mr. Jeremy",05/10/2016,,,dinner with external stakeholders.,"Canteens, Lunches, Vending",,,,63.00,,
"Oppenheim, Mr. Jeremy",05/10/2016,,,trael from 2 Marsham Street to London Euston for onward travel to Liverpool to prepare for DBS Board meeting,Taxis,,,,17.00,,
"Oppenheim, Mr. Jeremy",05/10/2016,,Liverpool,External Meeting,,,Hotel Standard- One- King Size,,70.60,,Redfern
"Oppenheim, Mr. Jeremy",05/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,197.20,,Redfern
"Riach, Ms. Shona",05/10/2016,,,taxi to airport,Taxis,,,,68.18,,
"Webb, Mr. Stephen",05/10/2016,,East Croydon,External Meeting,Rail,Standard,,,12.10,,Redfern
"Foy, Mr. Timothy John",06/10/2016,,London Heathrow,External Meeting,,,Hotel Room,,64.60,,Redfern
"Lamberti, Mr. David James",06/10/2016,,Bicester Town,External Meeting,Rail,Standard,,,12.00,,Redfern
"Lamberti, Mr. David James",06/10/2016,,London Marylebone,External Meeting,Rail,Standard,,,15.00,,Redfern
"Lloyd, Ms. Myrtle",06/10/2016,,,taxi fare from railway station to home. No suitable public transport.,Taxis,,,,7.50,,
"Oppenheim, Mr. Jeremy",06/10/2016,,,taxi from offices of DBS to Liverpool Lime Street for train to London,Taxis,,,,5.50,,
"Oppenheim, Mr. Jeremy",06/10/2016,,,taxi from Euston to 2MS on return from official visit to Liverpool,Taxis,,,,15.50,,
"Williams, Ms. Wendy",06/10/2016,,Newcastle,External Meeting,Rail,Standard,,,76.90,,Redfern
"Williams, Ms. Wendy",06/10/2016,,Runcorn,External Meeting,Rail,Standard,,,113.00,,Redfern
"Chittenden, Mrs. Deborah",07/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,69.00,,Redfern
"Wilkinson, Ms. Patsy",07/10/2016,,,"Visit to BICS staff at Vulcan House, Sheffield","T&S - Planes, Trains and Automobiles",,,,12.50,,
"Oppenheim, Mr. Jeremy",08/10/2016,,,personal mobile used for business calls. 70% of bill claimed,Miscellaneous,,,,23.46,,
"Parr, Mr. Matthew",09/10/2016,,Durham,External Meeting,Rail,Standard,,,84.90,,Redfern
"Parr, Mr. Matthew",09/10/2016,,Newcastle,External Meeting,,,Hotel Room,,87.80,,Redfern
"Arnott, Dr. Robert Henry",10/10/2016,,,Train strike,T&S - Hotels,,,,500.00,,
"Duffy, Mr. Philip",10/10/2016,,,Travel to London First,T&S - Hotels,,,,5.30,,
"Ind, Mr. Hugh Timothy",10/10/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",10/10/2016,,,Parking @ Salford ION,"T&S - Planes, Trains and Automobiles",,,,3.00,,
"Lloyd, Ms. Myrtle",10/10/2016,,,Site visit to Salford ION,T&S - Employee Reimbursed Mileage,,,,15.60,,
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,,travel to heatrhow,T&S - Overseas Expenses,Standard/Economy,,,24.00,,
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,,travel from airport to hotel in toronto,T&S - Overseas Expenses,,,,42.42,,
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,,dinner in toronto,T&S - Subsistence,,,,12.42,,
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,,Breakfast not included in Hotel booking,T&S - Subsistence,,,,17.55,,
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,Toronto,External Meeting,Air Tickets,Economy,,,"1,254.15",,Redfern
"Morrison, Mr. Paul Noble Wilson",10/10/2016,,Toronto,External Meeting,,,Hotel (Foreign) Room,,425.51,,Redfern
"Parr, Mr. Matthew",10/10/2016,,London Kings Cross,External Meeting,Rail,Standard,,,46.00,,Redfern
"Wilkinson, Ms. Patsy",10/10/2016,,HEATHROW TERM 5,External Meeting,Rail,Standard,,,36.00,,Redfern
"Wilkinson, Ms. Patsy",10/10/2016,,London Paddington,External Meeting,Rail,Standard,,,7.00,,Redfern
"Williams, Ms. Wendy",10/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,104.40,,Redfern
"Williams, Ms. Wendy",10/10/2016,,London Paddington,External Meeting,Rail,Standard,,,38.00,,Redfern
"Cunningham, Mr. Michael Bernard",11/10/2016,,East Midlands,External Meeting,,,Hotel With Modem Internet And Email Access.,,80.50,,Redfern
"Cunningham, Mr. Michael Bernard",11/10/2016,,London Euston,External Meeting,Rail,Standard,,,173.00,,Redfern
"Hills, Mr. Gareth David",11/10/2016,,,Photos for India visa,Office Overheads (incl Printing & Publications),,,,24.98,,
"Lloyd, Ms. Myrtle",11/10/2016,,,Parking @ railway station.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",11/10/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,274.50,,Redfern
"Morrison, Mr. Paul Noble Wilson",11/10/2016,,,hosting can govt counterparts at hotel,"Canteens, Lunches, Vending",,,,9.66,,
"Morrison, Mr. Paul Noble Wilson",11/10/2016,,,lunch during visits,T&S - Subsistence,,,,8.61,,
"Morrison, Mr. Paul Noble Wilson",11/10/2016,,,dinner in toronto,T&S - Subsistence,,,,23.11,,
"Freston, Mrs. Penny",12/10/2016,,,visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,36.00,,
"Hepple, Mr. Tyson Julian",12/10/2016,,Bedford Station,External Meeting,Rail,Standard,,,40.20,,Redfern
"Hepple, Mr. Tyson Julian",12/10/2016,,Bedford Station,External Meeting,Rail,Standard,,,25.20,,Redfern
"Hepple, Mr. Tyson Julian",12/10/2016,,Bedford Station,,Rail,Standard,,,-20.20,,Redfern
"Hepple, Mr. Tyson Julian",12/10/2016,,London St Pancras,External Meeting,Rail,Standard,,,15.00,,Redfern
"Hepple, Mr. Tyson Julian",12/10/2016,,London St Pancras,,Rail,Standard,,,-10.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",12/10/2016,,,dinner in ottawa,T&S - Subsistence,,,,13.04,,
"Morrison, Mr. Paul Noble Wilson",12/10/2016,,Ottawa,External Meeting,Air Tickets,First Class,,,123.10,,Redfern
"Morrison, Mr. Paul Noble Wilson",12/10/2016,,,External Meeting,Baggage,,,,21.19,,Redfern
"Sutton, Mr. Kenneth David",12/10/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,18.20,,Redfern
"Sutton, Mr. Kenneth David",12/10/2016,,Stafford,External Meeting,Rail,Standard,,,213.00,,Redfern
"Wilkinson, Ms. Patsy",12/10/2016,,,Taxi from 2 Marsham St to 70 Whitehall as no drivers available.  Attending meeting hosted by Jeremy Heywood,Taxis,,,,6.00,,
"Wilkinson, Ms. Patsy",12/10/2016,,,Taxi from 70 Whitehall to 2 Marsham St,Taxis,,,,6.00,,
"Wilkinson, Ms. Patsy",12/10/2016,,,Taxi from 2 Marsham St to home after late call with Home Secretary,Taxis,,,,7.00,,
"Williams, Ms. Wendy",12/10/2016,,Birmingham,External Meeting,,,Hotel Superior- One- Double,,85.60,,Redfern
"Williams, Ms. Wendy",12/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,22.00,,Redfern
"Williams, Ms. Wendy",12/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,-11.00,,Redfern
"Williams, Ms. Wendy",12/10/2016,,Stafford,External Meeting,Rail,Standard,,,18.50,,Redfern
"Cunningham, Mr. Michael Bernard",13/10/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Ind, Mr. Hugh Timothy",13/10/2016,,,Hosting Dinner of Nigerian Diplomats.,Miscellaneous,,,,336.38,,
"Lloyd, Ms. Myrtle",13/10/2016,,,Parking @ Railway station,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",13/10/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,249.50,,Redfern
"Montgomery, Sir Charles Percival",13/10/2016,,,Tube journey to Director's Away Day,T&S - Hotels,,,,2.40,,
"Morrison, Mr. Paul Noble Wilson",13/10/2016,,,lunch in ottawa,T&S - Subsistence,,,,9.81,,
"Morrison, Mr. Paul Noble Wilson",13/10/2016,,London Heathrow,External Meeting,Air Tickets,Club Class,,,"1,814.86",,Redfern
"Morrison, Mr. Paul Noble Wilson",13/10/2016,,London Heathrow,External Meeting,Air Tickets,Economy,,,"1,466.00",,Redfern
"Sutton, Mr. Kenneth David",13/10/2016,,Liverpool,External Meeting,,,Hotel Room,,59.59,,Redfern
"Sutton, Mr. Kenneth David",13/10/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,18.20,,Redfern
"Sutton, Mr. Kenneth David",13/10/2016,,Warrington Bank Quay,External Meeting,Rail,Standard,,,626.00,,Redfern
"Tribe, Mr. Lee Kelvin",13/10/2016,,,From Coventry to Ryton to speak at planning event,Taxis,,,,15.80,,
"Tribe, Mr. Lee Kelvin",13/10/2016,,Coventry,External Meeting,Rail,Standard,,,150.00,,Redfern
"Wilkinson, Ms. Patsy",13/10/2016,,,"Taxi from 2 Marsham to Cabinet Office, Whitehall for Cabinet Office meeting",Taxis,,,,5.00,,
"Williams, Ms. Wendy",13/10/2016,,Newcastle,External Meeting,Rail,Standard,,,44.50,,Redfern
"Williams, Ms. Wendy",13/10/2016,,Newcastle,External Meeting,Rail,Standard,,,41.50,,Redfern
"Arnott, Dr. Robert Henry",14/10/2016,,,2MS to Euston (Ryton planning day),Taxis,,,,20.00,,
"Arnott, Dr. Robert Henry",14/10/2016,,,Coventry Stn to Ryton (planning day),Taxis,,,,19.00,,
"Arnott, Dr. Robert Henry",14/10/2016,,,Ryton to Coventry Stn (Ryton planning day),Taxis,,,,18.50,,
"Duffy, Mr. Philip",14/10/2016,,,Rail ticket to attend Heathrow View point,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,9.00,,
"Duffy, Mr. Philip",14/10/2016,,,Travel to View point Heathrow,T&S - Hotels,,,,6.50,,
"Hepple, Mr. Tyson Julian",14/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,7.10,,Redfern
"Hepple, Mr. Tyson Julian",14/10/2016,,London Euston,External Meeting,Rail,Standard,,,27.00,,Redfern
"Hepple, Mr. Tyson Julian",14/10/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,37.00,,Redfern
"Montgomery, Sir Charles Percival",14/10/2016,,,Tube journey to HO Charity Event,T&S - Hotels,,,,2.40,,
"Montgomery, Sir Charles Percival",14/10/2016,,London Blackfriars,External Meeting,Rail,Standard,,,11.60,,Redfern
"Montgomery, Sir Charles Percival",14/10/2016,,St Albans Station,External Meeting,Rail,Standard,,,11.60,,Redfern
"Morrison, Mr. Paul Noble Wilson",14/10/2016,,,travel back from heathrow,T&S - Overseas Expenses,Standard/Economy,,,22.00,,
"Owen, Mr. Marc",14/10/2016,,,"Travel back from Workshop in Amadeus House, Heathrow","T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.90,,
"Owen, Mr. Marc",14/10/2016,,,Travel to Workshop at Amadeus House,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,36.00,,
"Owen, Mr. Marc",14/10/2016,,,Travel to Heathrow for workshop,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,5.90,,
"Sedwill, Mr. Mark",14/10/2016,,St Albans Station,External Meeting,Rail,Standard,,,12.10,,Redfern
"Dottridge, Mr. Adrian Yme",17/10/2016,,East Croydon,External Meeting,Rail,Standard,,,5.90,,Redfern
"Eastaugh, Mr. Tony",17/10/2016,,London Heathrow,External Meeting,,,Hotel Room,,444.60,,Redfern
"Hills, Mr. Gareth David",17/10/2016,,Delhi,External Meeting,Air Tickets,Business,,,115.00,,Redfern
"Ind, Mr. Hugh Timothy",17/10/2016,,,Taxi Fare from International Conference at Kia Oval to Westminister,Taxis,,,,8.00,,
"Ind, Mr. Hugh Timothy",17/10/2016,,,Travel to International Directorate Conference at Kia Oval,"T&S - Planes, Trains and Automobiles",,,,1.50,,
"Morrison, Mr. Paul Noble Wilson",17/10/2016,,,travel to a govt training event,Taxis,,,,12.00,,
"Morrison, Mr. Paul Noble Wilson",17/10/2016,,Dorking Station,External Meeting,Rail,Standard,,,24.50,,Redfern
"Oppenheim, Mr. Jeremy",17/10/2016,,,travel from external dinner with Polaris to 2 Marsham Street.,Taxis,,,,11.66,,
"Oppenheim, Mr. Jeremy",17/10/2016,,,travel to home following external dinner with Polaris (after 21:00).,Taxis,,,,41.14,,
"Oppenheim, Mr. Jeremy",17/10/2016,,,"Dinner with officials from Polaris a US non profit organisation who are working with MSU on a new helpline for vicitms,Colleague Offer Stern-Weiner also attended","Canteens, Lunches, Vending",,,,208.96,,
"Tribe, Mr. Lee Kelvin",17/10/2016,,Cardiff Central,External Meeting,Rail,Standard,,,183.50,,Redfern
"Williams, Ms. Wendy",17/10/2016,,Bristol,External Meeting,Web Transaction,Economy,,,18.00,,Redfern
"Williams, Ms. Wendy",17/10/2016,,Bristol,External Meeting,Web Transaction,Economy,,,45.24,,Redfern
"Cunningham, Mr. Michael Bernard",18/10/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",18/10/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Eastaugh, Mr. Tony",18/10/2016,,Solihull,External Meeting,Rail,Standard,,,29.20,,Redfern
"Lloyd, Ms. Myrtle",18/10/2016,,,taxi from home to railway station. No suitable public transport.,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",18/10/2016,,,Tube fare.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",18/10/2016,,,Overnight stay in London - Dinner.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",18/10/2016,,ZONE U1* LONDN,External Meeting,Rail,Standard,,,110.00,,Redfern
"Lloyd, Ms. Myrtle",18/10/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,136.00,,Redfern
"Oppenheim, Mr. Jeremy",18/10/2016,,,taxi home following return from officisal visit to Liverpool.,Taxis,,,,23.98,,
"Duffy, Mr. Philip",19/10/2016,,Folkestone Central,External Meeting,Rail,Standard,,,5.00,,Redfern
"Lloyd, Ms. Myrtle",19/10/2016,,,Dinner (Overnight stay in London),T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",19/10/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",19/10/2016,,East Croydon,External Meeting,Rail,Standard,,,16.60,,Redfern
"Montgomery, Sir Charles Percival",19/10/2016,,Fareham,External Meeting,Rail,Standard,,,8.50,,Redfern
"Montgomery, Sir Charles Percival",19/10/2016,,Winchester,External Meeting,Rail,Standard,,,8.50,,Redfern
"O'brien, Mr. John",19/10/2016,,,Meeting at Darlington- last minute travel,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,133.50,,
"O'brien, Mr. John",19/10/2016,,,Taxi to Kings Cross,Taxis,,,,26.00,,
"O'brien, Mr. John",19/10/2016,,,Taxi from Station to Hotel. No public transport,Taxis,,,,19.00,,
"O'brien, Mr. John",19/10/2016,,,External meeting,T&S - Subsistence,,,,26.00,,
"Eastaugh, Mr. Tony",20/10/2016,,,Taxi need from Horley station to venue (Roffey Park),Taxis,,,,29.00,,
"Eastaugh, Mr. Tony",20/10/2016,,Gatwick Airport,External Meeting,Rail,Standard,,,46.40,,Redfern
"Greaves, Mr. Daniel Paul",20/10/2016,,,Moreton-in-Marsh - Fire services Council,Taxis,,,,9.00,,
"Hills, Mr. Gareth David",20/10/2016,,Leeds,External Meeting,Rail,Standard,,,66.00,,Redfern
